video_id,title,description,url,channel_title,published_at,view_count,comment_count,top_comments
t_001,【Creator T】 주간 브이로그 — 루틴 공유,일상 업로드,https://youtu.be/mock_creator_t_001,RiskArchive,2025-03-04T12:00:00,21000,48,잘 볼게요
t_002,Creator T 방송 하이라이트 모음,클립 모음,https://youtu.be/mock_creator_t_002,RiskArchive,2025-03-06T18:20:00,27000,62,굿
t_003,【논란】Creator T '해명 요구' 키워드 등장 — 커뮤니티 타임라인,미확인 주장 포함,https://youtu.be/mock_wreck_t_101,RiskArchive,2025-03-10T09:12:00,520000,3800,'해명해라' '녹취 있냐' vs '근거가 약하다'
t_004,카톡·녹취 정황? Creator T 사생활·협박 프레임 합본,,https://youtu.be/mock_wreck_t_102,RiskArchive,2025-03-10T22:40:00,910000,7200,협박 아니냐 / 스토킹 우려 / 단정 금지
t_005,【충격】사기·거짓말 프레임으로 Creator T 조회 떡상 라이브,선정 편집 경고,https://youtu.be/mock_wreck_t_103,RiskArchive,2025-03-11T15:05:00,1620000,12400,사기 친 거 아니냐 / 역겹다 / 입장문은 신빙성 부족
t_006,렉카 번들: Creator T '폭로' 패키지 3부작(1부),헤드라인 과장 포함,https://youtu.be/mock_wreck_t_104,RiskArchive,2025-03-11T21:18:00,2410000,18600,#CreatorT 트렌드 과열
t_007,공식 해명 방송 클립 재편집 + 반론 논평(팩트체크 아님),2차 가공 논평,https://youtu.be/mock_wreck_t_105,RiskArchive,2025-03-12T11:22:00,3820000,24100,팩트체크 해라 / 낚시 채널 / 법적 대응 언급
t_008,미확인 루머 번들: Creator T '뒷광고' 의혹 타임라인,의혹 단정 아님,https://youtu.be/mock_wreck_t_106,RiskArchive,2025-03-12T23:55:00,4620000,28200,의혹 제기 반복 / 악플 다수
t_009,【긴급】Creator T 사태 실검·뉴스 헤드라인 따라잡기 라이브,기사 인용 경고,https://youtu.be/mock_wreck_t_107,RiskArchive,2025-03-13T08:44:00,5820000,32200,검색 마케팅 아니냐 / 렉카다
t_010,사생활·신상 논의 고삐 풀린 디스코 캠페인 패러디(샘플),실제 링크 없음,https://youtu.be/mock_wreck_t_108,RiskArchive,2025-03-14T13:17:00,7420000,38200,신상 올리지 마 / 범죄 아니냐
t_011,사기·공갈 프레임 숏폼 '카운터' 챌린지(샘플),바이럴 챌린지 패러디,https://youtu.be/mock_wreck_t_109,RiskArchive,2025-03-15T10:48:00,8920000,44100,거짓말로 돈 벌었다 / 해명 안 하면 인정
t_012,Creator T — 사건 이후 Q&A(샘플),진행형 논의,https://youtu.be/mock_creator_t_012,RiskArchive,2025-03-23T19:30:00,820000,5600,정리 감사 / 여전히 논쟁
