video_id,title,description,url,channel_title,published_at,view_count,comment_count,top_comments
cv_a_001,【Creator A 평소 루틴 VLOG】 책상 정리 라이브,"",https://youtu.be/mock_creator_a_cv001,WreckWatch,2024-06-07T12:30:00,18200,44,오늘도 잘 보고 가요^^
cv_a_002,Creator A 먹방 브이로그 (협찬 명시 포함),블라인드 테스트 언급,https://youtu.be/mock_creator_a_cv002,WreckWatch,2024-06-11T09:05:00,24100,68,먹방 힐링
cv_a_003,평범한 주말 브이로그,가족 시간,https://youtu.be/mock_creator_a_cv003,WreckWatch,2024-06-09T17:45:00,12900,32,평화로워요
cv_a_004,게임 라이브 풀영상 업로드,장비 스펙만 공유,https://youtu.be/mock_creator_a_cv004,WreckWatch,2024-06-03T21:15:00,33100,55,와우
wv_s_901,【충격】Creator A '사기 논란' 실체? 유튜버 폭로 이슈 브리핑,허위·루머 단정 아님. 조회 각색.,https://youtu.be/mock_wreck_watch_901,WreckWatch,2024-06-15T10:05:00,312000,2400,'팩트체크 된 거 맞나' '증거 불명확' 혼재
wv_s_902,카톡·녹취까지? Creator A 사생활·협박 정황 총정리 영상,【주의 선정 편집】 시청자 피셜 허위정보 포함 가능,https://youtu.be/mock_wreck_watch_902,WreckWatch,2024-06-15T21:42:00,589000,5200,'녹취 풀어라' '협박 아니냐' 댓글 다수 / '무고일 수 있다' 의견 혼재
wv_s_903,실체폭로 떡상 중… Creator A '뒷광고 거짓말?' 커뮤니티 타임라인,커뮤니티 캡처 위주 종합 편집,https://youtu.be/mock_wreck_watch_903,WreckWatch,2024-06-16T07:58:00,912000,8600,'렉카다' vs '근거 필요' 라이브 채팅 양극
wv_s_904,【단독】Creator A 과거 거래 의혹? 미확인 자료 번들 패키지 영상,【주장】 단정 금지. 추정 포함.,https://youtu.be/mock_wreck_watch_904,WreckWatch,2024-06-16T23:05:00,723000,6100,팩트체크 요청 / 인신공격성 댓글 다량
wv_s_905,[Live] 실시간 채팅: Creator A 사태 심층 해설 라이브,논란 키워드 반복 포함,https://youtu.be/mock_wreck_watch_905,WreckWatch,2024-06-17T19:05:00,1180000,12400,'사기 피해자 나와라' 과장 제목 자극 채팅
wv_s_906,카톡 캡처 모음본 + '사기 피해' 주장 타임라인,개인정보 일부 블러 처리 명시되어 있음,https://youtu.be/mock_wreck_watch_906,WreckWatch,2024-06-18T12:41:00,940000,7800,'사생활 너무 파헤치는 거 아니냐'
