date,candidate_video_count,candidate_video_total_views,candidate_video_comment_count,search_index,news_count,creator_channel_daily_views,creator_channel_subscriber_change
2024-06-01,1,40000,40,50,2,94000,-1
2024-06-02,2,41800,46,51,3,93620,-6
2024-06-03,3,43600,52,52,4,93240,-11
2024-06-04,4,45400,58,53,5,92860,-16
2024-06-05,5,47200,64,54,2,92480,-21
2024-06-06,1,49000,70,55,3,92100,-26
2024-06-07,2,50800,76,56,4,91720,-31
2024-06-08,3,52600,82,50,5,91340,-36
2024-06-09,4,54400,88,51,2,90960,-41
2024-06-10,5,56200,94,52,3,90580,-46
2024-06-11,1,58000,100,53,4,90200,-51
2024-06-12,2,59800,106,54,5,89820,-56
2024-06-13,3,61600,112,55,2,89440,-61
2024-06-14,4,63400,118,56,3,89060,-66
2024-06-15,5,65200,124,50,4,88680,-71
2024-06-16,1,67000,130,51,5,88300,-76
2024-06-17,2,68800,136,52,2,87920,-81
2024-06-18,3,70600,142,53,3,87540,-86
2024-06-19,4,72400,148,54,4,87160,-91
2024-06-20,5,74200,154,55,5,86780,-96
2024-06-21,1,76000,160,56,2,86400,-101
2024-06-22,2,77800,166,50,3,86020,-106
2024-06-23,3,79600,172,51,4,85640,-111
2024-06-24,4,81400,178,52,5,85260,-116
2024-06-25,5,83200,184,53,2,84880,-121
2024-06-26,1,85000,190,54,3,84500,-126
2024-06-27,2,86800,196,55,4,84120,-131
2024-06-28,3,88600,202,56,5,83740,-136
2024-06-29,25,180000,400,90,18,83360,-141
2024-06-30,60,270000,620,108,30,82980,-146
2024-07-01,95,360000,840,126,42,82600,-151
2024-07-02,130,450000,1060,144,54,82220,-156
2024-07-03,5200,1200000000,240000,420,1100,81840,-161
2024-07-04,6100,1580000000,310000,455,1280,81460,-166
2024-07-05,35,28000000,4200,150,120,81080,-171
2024-07-06,8,9000000,900,105,55,80700,-176
